halo_id,log10_Mvir,Mvir_Msol,c_NFW,Vvir_kms,Vmax_kms,phi_ana,phi_num,phi_corr,score_ana,score_num,score_corr,class_ana,class_num,class_corr,falso_escuro,recuperado,falso_estelar,delta_phi_num_pct,delta_phi_corr_pct,estrato
1,8.1609,1.4486e+08,21.713,7.5842,11.1632,-5.326076,-3.753983,-5.276079,1.143983,0.806315,1.133244,0,0,0,0,0,0,29.517,0.939,0
2,7.6583,4.5532e+07,17.535,5.1567,7.1472,-5.132078,-3.523208,-5.084982,1.102314,0.756746,1.092199,0,0,0,0,0,0,31.349,0.918,0
3,8.2879,1.9404e+08,17.311,8.3605,11.5471,-5.120525,-3.508298,-5.072671,1.099833,0.753544,1.089554,0,0,0,0,0,0,31.486,0.935,0
4,8.0461,1.1119e+08,28.007,6.9441,11.0256,-5.558607,-4.017692,-5.498955,1.193928,0.862956,1.181115,0,0,0,0,0,0,27.721,1.073,0
5,7.1413,1.3844e+07,22.727,3.4675,5.1720,-5.367790,-3.801138,-5.319283,1.152943,0.816443,1.142524,0,0,0,0,0,0,29.186,0.904,0
6,8.4634,2.9069e+08,22.045,9.5663,14.1427,-5.339958,-3.767449,-5.288398,1.146965,0.809207,1.135890,1,0,1,1,1,0,29.448,0.966,0
7,8.1417,1.3858e+08,15.559,7.4731,10.0307,-5.025424,-3.392421,-4.973188,1.079406,0.728655,1.068186,0,0,0,0,0,0,32.495,1.039,0
8,8.1791,1.5104e+08,18.549,7.6907,10.8256,-5.182774,-3.582990,-5.131202,1.113203,0.769587,1.102126,0,0,0,0,0,0,30.867,0.995,0
9,7.1922,1.5566e+07,19.324,3.6057,5.1338,-5.219867,-3.628167,-5.164832,1.121170,0.779291,1.109350,0,0,0,0,0,0,30.493,1.054,0
10,7.6756,4.7378e+07,20.159,5.2255,7.5295,-5.258353,-3.672170,-5.197436,1.129437,0.788742,1.116352,0,0,0,0,0,0,30.165,1.158,0
11,7.5562,3.5991e+07,27.942,4.7679,7.5651,-5.556498,-4.015084,-5.495368,1.193475,0.862396,1.180345,0,0,0,0,0,0,27.741,1.100,0
12,8.3901,2.4555e+08,12.011,9.0430,11.3705,-4.802965,-3.115839,-4.779169,1.031624,0.669248,1.026513,0,0,0,0,0,0,35.127,0.495,0
13,7.9658,9.2427e+07,22.921,6.5293,9.7631,-5.375576,-3.810378,-5.327756,1.154615,0.818427,1.144344,0,0,0,0,0,0,29.117,0.890,0
14,8.2341,1.7145e+08,20.488,8.0225,11.6132,-5.273095,-3.685608,-5.210526,1.132603,0.791628,1.119164,0,0,0,0,0,0,30.105,1.187,0
15,7.6651,4.6251e+07,18.944,5.1837,7.3397,-5.201859,-3.602579,-5.145293,1.117302,0.773795,1.105153,0,0,0,0,0,0,30.744,1.087,0
16,7.3409,2.1921e+07,16.463,4.0416,5.5068,-5.075560,-3.450880,-5.024712,1.090175,0.741211,1.079253,0,0,0,0,0,0,32.010,1.002,0
17,7.8319,6.7901e+07,21.573,5.8915,8.6555,-5.320175,-3.742103,-5.264632,1.142715,0.803763,1.130785,0,0,0,0,0,0,29.662,1.044,0
18,7.0957,1.2466e+07,21.983,3.3484,4.9462,-5.337365,-3.764795,-5.285975,1.146408,0.808637,1.135370,0,0,0,0,0,0,29.463,0.963,0
19,8.2414,1.7436e+08,20.427,8.0677,11.6686,-5.270380,-3.687511,-5.212443,1.132020,0.792037,1.119576,0,0,0,0,0,0,30.033,1.099,0
20,7.9475,8.8613e+07,20.735,6.4382,9.3516,-5.284018,-3.703475,-5.228486,1.134949,0.795466,1.123022,0,0,0,0,0,0,29.912,1.051,0
21,8.1371,1.3713e+08,29.604,7.4469,12.0274,-5.609010,-4.074153,-5.537265,1.204754,0.875083,1.189344,1,1,1,0,0,0,27.364,1.279,0
22,7.5318,3.4024e+07,21.378,4.6794,6.8568,-5.311861,-3.735754,-5.258852,1.140930,0.802399,1.129544,0,0,0,0,0,0,29.671,0.998,0
23,8.4560,2.8579e+08,14.137,9.5122,12.4538,-4.941438,-3.292679,-4.903499,1.061367,0.707232,1.053218,1,0,1,1,1,0,33.366,0.768,0
24,8.3397,2.1862e+08,19.698,8.6995,12.4533,-5.237279,-3.647817,-5.178393,1.124910,0.783511,1.112262,1,0,1,1,1,0,30.349,1.124,0
25,8.1676,1.4709e+08,20.715,7.6230,11.0694,-5.283111,-3.698913,-5.223414,1.134754,0.794486,1.121932,0,0,0,0,0,0,29.986,1.130,0
26,7.2920,1.9587e+07,33.886,3.8927,6.5589,-5.730936,-4.211205,-5.713617,1.230942,0.904521,1.227222,0,0,0,0,0,0,26.518,0.302,0
27,7.7001,5.0128e+07,26.987,5.3247,8.3593,-5.524803,-3.980464,-5.469720,1.186667,0.854960,1.174836,0,0,0,0,0,0,27.953,0.997,0
28,7.0657,1.1633e+07,27.709,3.2722,5.1785,-5.548868,-4.003615,-5.486296,1.191836,0.859933,1.178396,0,0,0,0,0,0,27.848,1.128,0
29,7.2314,1.7039e+07,35.000,3.7160,6.3260,-5.759887,-4.242423,-5.756290,1.237161,0.911226,1.236388,0,0,0,0,0,0,26.345,0.062,0
30,8.0246,1.0582e+08,14.988,6.8306,9.0788,-4.992487,-3.354839,-4.939408,1.072332,0.720583,1.060931,0,0,0,0,0,0,32.802,1.063,0
31,8.1171,1.3096e+08,16.858,7.3335,10.0561,-5.096727,-3.480361,-5.049778,1.094721,0.747543,1.084637,0,0,0,0,0,0,31.714,0.921,0
32,8.4513,2.8266e+08,14.504,9.4773,12.4901,-4.963760,-3.320824,-4.920673,1.066161,0.713277,1.056907,1,0,1,1,1,0,33.099,0.868,0
33,7.4887,3.0813e+07,20.785,4.5274,6.5807,-5.286226,-3.703032,-5.227673,1.135424,0.795371,1.122847,0,0,0,0,0,0,29.949,1.108,0
34,7.5557,3.5949e+07,15.938,4.7661,6.4381,-5.046739,-3.420080,-4.998051,1.083984,0.734596,1.073527,0,0,0,0,0,0,32.232,0.965,0
35,7.7043,5.0621e+07,25.629,5.3421,8.2569,-5.477663,-3.922350,-5.422816,1.176542,0.842478,1.164762,0,0,0,0,0,0,28.394,1.001,0
36,7.2842,1.9240e+07,22.743,3.8696,5.7730,-5.368437,-3.798286,-5.316416,1.153082,0.815830,1.141908,0,0,0,0,0,0,29.248,0.969,0
37,7.1949,1.5663e+07,16.925,3.6132,4.9600,-5.100298,-3.483445,-5.052207,1.095488,0.748206,1.085159,0,0,0,0,0,0,31.701,0.943,0
38,7.7136,5.1708e+07,16.835,5.3800,7.3747,-5.095535,-3.478400,-5.048165,1.094465,0.747122,1.084291,0,0,0,0,0,0,31.736,0.930,0
39,7.3404,2.1896e+07,25.710,4.0400,6.2504,-5.480568,-3.924233,-5.423893,1.177166,0.842882,1.164993,0,0,0,0,0,0,28.397,1.034,0
40,8.0047,1.0109e+08,25.160,6.7273,10.3406,-5.460804,-3.908141,-5.411907,1.172921,0.839426,1.162419,0,0,0,0,0,0,28.433,0.895,0
41,7.6557,4.5261e+07,35.000,5.1464,8.7611,-5.759887,-4.242278,-5.756161,1.237161,0.911195,1.236361,0,0,0,0,0,0,26.348,0.065,0
42,8.2490,1.7743e+08,35.000,8.1147,13.8140,-5.759887,-4.240542,-5.754520,1.237161,0.910822,1.236008,1,1,1,0,0,0,26.378,0.093,0
43,8.0504,1.1230e+08,22.361,6.9673,10.3431,-5.352953,-3.777266,-5.296940,1.149756,0.811316,1.137725,0,0,0,0,0,0,29.436,1.046,0
44,7.4685,2.9414e+07,17.940,4.4577,6.2173,-5.152648,-3.548052,-5.104720,1.106732,0.762083,1.096438,0,0,0,0,0,0,31.141,0.930,0
45,8.2484,1.7717e+08,11.204,8.1108,10.0313,-4.745893,-3.044549,-4.721609,1.019366,0.653936,1.014150,0,0,0,0,0,0,35.849,0.512,0
46,8.2071,1.6112e+08,20.774,7.8580,11.4202,-5.285739,-3.703273,-5.227600,1.135319,0.795422,1.122831,0,0,0,0,0,0,29.938,1.100,0
47,7.5812,3.8126e+07,18.276,4.8604,6.8136,-5.169369,-3.569136,-5.121361,1.110324,0.766611,1.100012,0,0,0,0,0,0,30.956,0.929,0
48,7.4325,2.7070e+07,20.923,4.3361,6.3146,-5.292254,-3.709459,-5.234324,1.136718,0.796751,1.124276,0,0,0,0,0,0,29.908,1.095,0
49,8.0237,1.0562e+08,17.349,6.8262,9.4337,-5.122483,-3.513752,-5.077772,1.100253,0.754716,1.090650,0,0,0,0,0,0,31.405,0.873,0
50,7.2096,1.6204e+07,23.623,3.6543,5.5129,-5.403161,-3.842094,-5.355870,1.160540,0.825240,1.150382,0,0,0,0,0,0,28.892,0.875,0
51,7.2999,1.9946e+07,31.403,3.9164,6.4425,-5.662435,-4.122227,-5.597542,1.216229,0.885409,1.202291,0,0,0,0,0,0,27.200,1.146,0
52,7.0110,1.0258e+07,26.678,3.1377,4.9088,-5.514313,-3.962784,-5.454625,1.184414,0.851163,1.171594,0,0,0,0,0,0,28.136,1.082,0
53,8.1804,1.5149e+08,18.764,7.6983,10.8712,-5.193232,-3.595255,-5.140356,1.115450,0.772221,1.104092,0,0,0,0,0,0,30.770,1.018,0
54,7.9973,9.9375e+07,15.680,6.6889,8.9965,-5.032275,-3.402933,-4.982859,1.080878,0.730913,1.070264,0,0,0,0,0,0,32.378,0.982,0
55,8.0577,1.1422e+08,13.151,7.0067,9.0077,-4.879246,-3.213216,-4.851053,1.048009,0.690164,1.041953,0,0,0,0,0,0,34.145,0.578,0
56,8.1711,1.4828e+08,17.307,7.6436,10.5563,-5.120321,-3.509197,-5.073642,1.099789,0.753737,1.089763,0,0,0,0,0,0,31.465,0.912,0
57,7.6884,4.8795e+07,21.605,5.2770,7.7561,-5.321528,-3.741931,-5.264331,1.143006,0.803726,1.130721,0,0,0,0,0,0,29.683,1.075,0
58,7.8531,7.1304e+07,32.984,5.9883,10.0041,-5.706714,-4.182817,-5.675744,1.225740,0.898423,1.219088,0,0,0,0,0,0,26.704,0.543,0
59,7.2097,1.6207e+07,25.302,3.6545,5.6268,-5.465926,-3.912980,-5.415865,1.174021,0.840465,1.163269,0,0,0,0,0,0,28.411,0.916,0
